,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16341,SP1,Osasuna,Valencia,1.0,1.0,D,3.25,3.25,2.25,19,19,5.0,7.0,5.0,6.0,0,0,8.0,7.0,0.0,0.0,10,9,6.0,8.0,10.0,10.0
16342,E0,Liverpool,Bolton,1.0,0.0,H,1.44,4.2,7.0,34,32,14.0,10.0,5.0,8.0,4,0,12.0,6.0,1.0,0.0,18,17,10.0,6.0,13.0,9.0
16343,F1,Nantes,Monaco,0.0,0.0,D,2.75,2.9,2.7,18,18,9.0,7.0,9.0,2.0,0,1,9.0,10.0,0.0,1.0,10,10,9.0,5.0,10.0,15.0
16344,F1,Nancy,Lyon,0.0,3.0,A,2.8,3.1,2.6,35,35,7.0,7.0,2.0,6.0,6,3,11.0,7.0,1.0,1.0,18,18,6.0,8.0,9.0,8.0
16345,I1,Fiorentina,Chievo,3.0,1.0,H,1.53,4.0,6.0,28,28,5.0,6.0,6.0,9.0,0,1,4.0,6.0,0.0,1.0,14,15,7.0,4.0,7.0,6.0
16346,E0,Chelsea,Liverpool,2.0,0.0,H,1.9,3.0,4.5,25,23,9.0,5.0,4.0,4.0,12,1,11.0,8.0,1.0,1.0,13,11,8.0,8.0,13.0,15.0
16347,E0,Southampton,Leicester,1.0,4.0,A,2.1,3.39,3.89,17,17,7.0,7.0,8.0,6.0,2,4,5.0,10.0,1.0,1.0,10,9,8.0,8.0,8.0,10.0
16348,SP1,Levante,Ath Madrid,2.0,1.0,H,17.0,6.5,1.2,37,37,6.0,9.0,12.0,1.0,0,6,4.0,15.0,0.0,1.0,19,19,6.0,9.0,8.0,15.0
16349,F1,Auxerre,Bastia,4.0,1.0,H,1.5,3.5,6.0,23,23,9.0,3.0,4.0,5.0,2,1,12.0,4.0,1.0,1.0,11,11,8.0,1.0,11.0,5.0
16350,N1,Groningen,Twente,0.0,0.0,D,3.5,3.25,2.0,19,19,10.0,11.0,10.0,5.0,2,18,7.0,13.0,1.0,1.0,10,10,8.0,12.0,8.0,15.0
