,B365H,B365D,B365A,H,D,A,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamPoints,AwayTeamPoints,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamLostLast,AwayTeamLostLast
494,1.83,3.25,4.75,1,0,0,4.0,7.0,4.0,5.0,5.0,2.0,0,0,9.0,7.0,11.0,12.0,0.0,0.0
495,1.75,3.4,5.0,0,1,0,6.0,1.0,9.0,6.0,4.0,6.0,0,0,6.0,7.0,9.0,7.0,0.0,0.0
496,1.8,3.75,5.0,1,0,0,6.0,15.0,9.0,6.0,9.0,10.0,1,0,8.0,5.0,4.0,4.0,1.0,0.0
497,1.73,3.5,5.5,0,1,0,9.0,9.0,5.0,5.0,11.0,9.0,6,1,10.0,9.0,3.0,9.0,1.0,1.0
498,1.85,3.5,4.5,0,1,0,9.0,7.0,7.0,9.0,9.0,12.0,1,1,6.0,14.0,7.0,3.0,1.0,1.0
499,1.83,3.3,4.75,0,0,1,8.0,8.0,7.0,3.0,4.0,3.0,0,1,5.0,2.0,7.0,10.0,0.0,1.0
500,1.83,3.25,4.75,1,0,0,3.0,9.0,3.0,2.0,6.0,4.0,0,0,5.0,2.0,8.0,4.0,0.0,0.0
501,1.9,3.0,4.5,1,0,0,9.0,13.0,3.0,2.0,5.0,12.0,0,2,2.0,6.0,4.0,2.0,0.0,1.0
502,1.73,3.5,5.0,1,0,0,2.0,10.0,4.0,4.0,1.0,9.0,0,9,5.0,7.0,10.0,4.0,0.0,1.0
503,1.72,3.4,5.0,1,0,0,8.0,15.0,7.0,5.0,11.0,11.0,7,10,8.0,7.0,2.0,4.0,1.0,1.0
504,1.62,3.4,5.5,1,0,0,15.0,5.0,11.25,1.25,10.0,7.0,3,3,7.0,3.0,4.0,3.0,1.0,1.0
505,1.66,3.4,4.5,0,0,1,9.0,10.0,8.0,11.0,12.0,12.0,3,4,9.0,12.0,4.0,5.0,1.0,1.0
506,1.62,3.8,5.5,1,0,0,5.0,9.0,7.0,6.0,8.0,10.0,2,3,9.0,6.0,8.0,4.0,1.0,1.0
507,1.9,3.0,4.5,0,1,0,9.0,4.0,9.0,4.0,6.0,2.0,0,0,4.0,3.0,5.0,8.0,0.0,0.0
508,1.62,3.75,5.5,0,1,0,4.0,5.0,4.0,4.0,5.0,4.0,1,1,4.0,4.0,4.0,8.0,1.0,1.0
509,1.75,4.0,5.0,0,1,0,7.5,8.75,10.0,8.75,10.0,8.0,2,1,11.0,10.0,5.0,11.0,1.0,1.0
510,1.66,3.3,4.5,1,0,0,9.0,5.0,12.0,1.0,7.0,3.0,1,0,9.0,4.0,8.0,17.0,1.0,0.0
511,1.75,3.75,4.75,1,0,0,8.0,5.0,7.0,6.0,6.0,3.0,2,1,6.0,5.0,6.0,8.0,1.0,1.0
512,1.8,2.8,5.0,1,0,0,9.0,2.0,6.0,5.0,7.0,6.0,0,3,3.0,5.0,4.0,9.0,0.0,1.0
513,1.72,3.6,5.0,1,0,0,7.5,6.25,5.0,0.0,3.0,4.0,0,1,7.0,3.0,16.0,14.0,0.0,1.0
514,1.83,3.5,4.5,0,0,1,7.0,6.0,5.0,5.0,7.0,4.0,2,0,6.0,5.0,7.0,9.0,1.0,0.0
515,1.66,3.4,5.5,0,1,0,12.0,11.0,8.0,7.0,8.0,10.0,4,3,6.0,8.0,6.0,3.0,1.0,1.0
516,1.61,4.0,5.5,1,0,0,5.0,5.0,11.0,2.0,5.0,2.0,0,1,10.0,2.0,10.0,12.0,0.0,1.0
517,1.75,3.4,5.0,0,1,0,8.0,7.0,9.0,7.0,2.0,6.0,0,0,6.0,6.0,10.0,10.0,0.0,0.0
518,1.61,3.4,5.0,1,0,0,6.0,4.0,14.0,4.0,4.0,1.0,0,0,6.0,2.0,7.0,9.0,0.0,0.0
519,1.66,3.6,5.0,1,0,0,11.0,9.0,10.0,7.0,5.0,6.0,2,1,3.0,6.0,9.0,7.0,1.0,1.0
520,1.57,3.4,5.5,0,1,0,13.0,3.0,9.0,3.0,8.0,5.0,0,2,8.0,2.0,7.0,5.0,0.0,1.0
521,1.67,4.0,5.0,0,1,0,6.0,5.0,9.0,5.0,3.0,4.0,1,1,4.0,5.0,12.0,13.0,1.0,1.0
522,1.57,4.0,5.25,1,0,0,13.0,13.0,11.0,5.0,12.0,8.0,2,1,13.0,8.0,7.0,7.0,1.0,1.0
523,1.72,3.79,4.75,1,0,0,13.0,13.0,15.0,8.0,9.0,15.0,26,9,10.0,13.0,3.0,2.0,1.0,1.0
524,1.62,3.8,5.5,1,0,0,7.0,4.0,7.0,3.0,5.0,4.0,1,1,5.0,5.0,6.0,10.0,1.0,1.0
525,1.67,3.75,5.5,1,0,0,8.75,7.5,7.5,6.25,6.0,5.0,0,1,8.0,6.0,8.0,6.0,0.0,1.0
526,1.8,3.4,4.75,0,0,1,6.0,12.0,3.0,9.0,7.0,7.0,1,3,6.0,9.0,7.0,7.0,1.0,1.0
527,1.83,3.75,4.75,1,0,0,8.0,5.0,12.0,4.0,6.0,7.0,0,5,5.0,2.0,4.0,1.0,0.0,1.0
528,1.75,3.0,4.75,1,0,0,6.0,6.0,5.0,4.0,5.0,7.0,0,5,3.0,8.0,3.0,7.0,0.0,1.0
529,1.72,3.2,4.5,1,0,0,13.0,12.0,9.0,2.0,13.0,7.0,16,0,9.0,6.0,2.0,6.0,1.0,0.0
530,1.8,3.5,4.5,0,1,0,10.0,5.0,7.0,6.0,7.0,7.0,0,3,4.0,6.0,3.0,9.0,0.0,1.0
531,1.91,3.6,4.5,0,1,0,5.0,5.0,4.0,7.0,4.0,1.0,0,0,4.0,3.0,8.0,14.0,0.0,0.0
532,1.75,3.75,4.75,1,0,0,13.0,10.0,11.0,5.0,10.0,15.0,4,6,12.0,7.0,7.0,2.0,1.0,1.0
533,1.67,3.75,5.0,1,0,0,11.0,6.0,14.0,9.0,11.0,5.0,11,1,13.0,4.0,7.0,7.0,1.0,1.0
534,1.66,3.4,4.5,1,0,0,11.0,13.0,12.0,7.0,8.0,8.0,1,3,10.0,5.0,7.0,4.0,1.0,1.0
535,1.57,3.5,5.0,1,0,0,12.0,11.0,8.0,6.0,7.0,8.0,0,4,5.0,7.0,3.0,6.0,0.0,1.0
536,1.83,3.25,4.5,1,0,0,9.0,12.0,7.0,6.0,7.0,10.0,0,3,4.0,9.0,5.0,4.0,0.0,1.0
537,1.8,3.5,4.75,1,0,0,6.0,0.0,8.0,2.0,5.0,6.0,3,1,7.0,4.0,8.0,6.0,1.0,1.0
538,1.83,3.6,4.5,0,1,0,8.0,8.0,9.0,4.0,5.0,5.0,2,1,5.0,5.0,8.0,10.0,1.0,1.0
539,1.57,4.0,5.5,1,0,0,9.0,7.0,7.0,4.0,4.0,7.0,0,1,5.0,2.0,6.0,5.0,0.0,1.0
540,1.8,3.4,4.75,1,0,0,4.0,6.0,3.0,6.0,4.0,4.0,1,1,6.0,5.0,7.0,8.0,1.0,1.0
541,1.73,3.6,4.75,1,0,0,6.0,7.0,6.0,6.0,6.0,2.0,0,2,3.0,4.0,5.0,7.0,0.0,1.0
542,1.8,3.5,4.75,0,1,0,9.0,7.0,6.0,3.0,7.0,4.0,1,1,7.0,4.0,5.0,6.0,1.0,1.0
543,1.67,3.5,5.5,1,0,0,15.0,13.0,9.0,5.0,15.0,10.0,13,1,9.0,8.0,2.0,5.0,1.0,1.0
544,1.8,3.5,4.75,0,0,1,9.0,7.0,6.0,6.0,6.0,7.0,1,1,6.0,6.0,7.0,6.0,1.0,1.0
545,1.83,3.5,4.5,0,1,0,11.0,7.0,7.0,4.0,6.0,6.0,0,0,5.0,8.0,6.0,8.0,0.0,0.0
546,1.66,3.2,5.0,0,1,0,3.0,6.0,5.0,9.0,1.0,8.0,0,4,5.0,8.0,11.0,7.0,0.0,1.0
547,1.8,3.2,5.25,1,0,0,7.0,1.0,6.0,4.0,5.0,0.0,2,0,4.0,2.0,8.0,14.0,1.0,0.0
548,1.75,3.25,5.0,0,1,0,9.0,12.0,12.0,4.0,7.0,6.0,2,1,11.0,7.0,7.0,9.0,1.0,1.0
549,1.8,3.5,4.5,0,1,0,4.0,12.0,4.0,4.0,7.0,4.0,1,0,8.0,5.0,9.0,7.0,1.0,0.0
550,1.8,3.4,4.75,1,0,0,13.0,6.0,9.0,4.0,10.0,3.0,0,1,7.0,6.0,4.0,12.0,0.0,1.0
551,1.66,3.5,4.5,0,1,0,10.0,11.0,9.0,7.0,8.0,6.0,2,4,9.0,7.0,5.0,7.0,1.0,1.0
552,1.75,3.5,5.25,0,0,1,3.0,7.0,4.0,0.0,6.0,5.0,0,1,5.0,3.0,8.0,9.0,0.0,1.0
553,2.0,3.25,4.5,0,1,0,7.0,3.0,10.0,9.0,8.0,3.0,4,0,8.0,2.0,5.0,7.0,1.0,0.0
554,1.66,3.5,5.5,0,1,0,7.0,5.0,8.0,0.0,0.0,7.0,0,3,4.0,4.0,11.0,6.0,0.0,1.0
555,1.57,4.1,5.25,1,0,0,7.0,1.25,8.0,5.0,1.0,4.0,0,0,5.0,6.0,14.0,12.0,0.0,0.0
556,1.57,3.9,4.5,1,0,0,15.0,6.0,11.0,4.0,12.0,4.0,3,1,10.0,5.0,9.0,13.0,1.0,1.0
557,1.55,3.75,5.5,0,0,1,11.0,8.0,9.0,3.0,10.0,2.0,4,0,12.0,5.0,7.0,9.0,1.0,0.0
558,1.57,3.6,5.5,1,0,0,7.0,4.0,9.0,0.0,3.0,1.0,0,0,3.0,2.0,7.0,11.0,0.0,0.0
559,1.66,3.4,4.6,1,0,0,6.25,8.75,8.75,7.5,5.0,10.0,3,1,6.0,9.0,8.0,3.0,1.0,1.0
560,1.72,3.79,4.5,0,0,1,11.25,0.0,12.5,10.0,9.0,7.0,1,2,10.0,6.0,5.0,6.0,1.0,1.0
561,1.5,3.75,5.5,1,0,0,8.0,1.0,8.0,2.0,12.0,3.0,2,1,8.0,3.0,6.0,10.0,1.0,1.0
562,1.7,3.8,4.75,1,0,0,10.0,9.0,7.0,2.0,10.0,1.0,3,0,8.0,2.0,6.0,13.0,1.0,0.0
563,1.8,3.5,4.5,1,0,0,10.0,6.0,9.0,5.0,4.0,2.0,0,0,6.0,5.0,9.0,8.0,0.0,0.0
564,1.57,4.2,5.25,0,1,0,12.0,10.0,13.0,8.0,9.0,10.0,1,3,12.0,9.0,14.0,6.0,1.0,1.0
565,1.57,4.2,5.25,0,1,0,13.0,10.0,12.0,12.0,7.0,15.0,0,5,9.0,10.0,6.0,3.0,0.0,1.0
566,1.62,4.2,5.25,1,0,0,15.0,13.0,16.0,9.0,10.0,13.0,2,5,9.0,11.0,4.0,5.0,1.0,1.0
567,1.75,3.4,5.0,0,1,0,8.0,13.0,8.0,4.0,8.0,5.0,4,0,9.0,3.0,5.0,5.0,1.0,0.0
568,1.66,3.6,5.25,0,1,0,10.0,11.0,10.0,7.0,10.0,10.0,1,0,10.0,14.0,4.0,8.0,1.0,0.0
569,1.6,4.2,5.5,0,1,0,9.0,8.0,6.0,8.0,10.0,6.0,4,1,6.0,5.0,8.0,9.0,1.0,1.0
570,1.73,3.5,5.25,1,0,0,10.0,6.0,5.0,0.0,4.0,3.0,2,1,1.0,3.0,6.0,9.0,1.0,1.0
571,1.75,3.7,5.5,1,0,0,9.0,5.0,10.0,0.0,6.0,2.0,1,1,5.0,5.0,6.0,12.0,1.0,1.0
572,1.83,3.75,4.75,1,0,0,8.0,7.0,7.0,2.0,13.0,4.0,5,1,8.0,7.0,3.0,9.0,1.0,1.0
573,1.7,3.75,4.75,1,0,0,8.0,5.0,12.0,1.25,4.0,5.0,0,0,8.0,4.0,9.0,6.0,0.0,0.0
574,1.61,3.4,5.0,1,0,0,8.0,2.0,6.0,4.0,8.0,3.0,2,1,5.0,3.0,6.0,6.0,1.0,1.0
575,1.57,4.33,5.0,0,0,1,6.25,8.75,8.75,5.0,10.0,8.0,2,1,11.0,4.0,7.0,3.0,1.0,1.0
576,1.66,3.25,4.5,1,0,0,11.0,11.0,5.0,3.0,11.0,8.0,7,1,5.0,5.0,1.0,3.0,1.0,1.0
